Major,Department
PLCY,School of Public Policy
AASP,BSOS
HNUH,Office of Undergraduate Studies
BUFN,BMGT
BUSI,BMGT
MSML,CMNS
HONR,Office of Undergraduate Studies
PUAF,School of Public Policy
BSCI,CMNS
BIOL,CMNS
HDCC,Office of Undergraduate Studies
LGBT,ARHU
EDUC,EDUC
TLTC,EDUC
CPMS,EDUC
ENES,ENGR
HEBR,ARHU
EDCP,EDUC
IDEA,BMGT
NEUR,BSOS
BUMK,BMGT
INAG,EDUC
CHBE,CMNS
SPAN,ARHU
PORT,ARHU
USLT,ARHU
SLLC,ARHU
BUSM,BMGT
FREN,ARHU
MLSC,ARHU
THET,ARHU
CHIN,ARHU
EALL,ARHU
BUMO,BMGT
ENPM,ENGR
CBMG,CMNS
ENSP,BSOS
PHPE,ARHU
ENNU,ENGR
HLSA,SPHL
HLTH,ARHU
BSOS,BSOS
SPHL,SPHL
BUDT,BMGT
CHSE,EDUC
HHUM,Office of Undergraduate Studies
CPSF,Office of Undergraduate Studies
AAST,Office of Undergraduate Studies
EPIB,SPHL
BUAC,BMGT
HLSC,EDUC
SMLP,BMGT
HLMN,BMGT
MLAW,BSOS
AGNR,AGNR
EDPS,EDUC
UMEI,Office of Undergraduate Studies
BEES,CMNS
LATN,ARHU
IMMR,ARHU
BIOM,CMNS
URSP,ARCH
CPBE,Office of Undergraduate Studies
IMDM,ARHU
CINE,ARHU
FILM,ARHU
NFSC,AGNR
CPSS,Office of Undergraduate Studies
AGST,AGNR
DATA,BSOS
RUSS,ARHU
CPGH,Office of Undergraduate Studies
RELS,ARHU
BSST,BSOS
WGSS,ARHU
CPJT,Office of Undergraduate Studies
JAPN,ARHU
ITAL,ARHU
LACS,ARHU
GREK,ARHU
LASC,ARHU
BSGC,Office of Undergraduate Studies
CPSA,Office of Undergraduate Studies
BSCV,Office of Undergraduate Studies
CPSN,Office of Undergraduate Studies
HGLO,Office of Undergraduate Studies
HEIP,BMGT
PEER,SPHL
ENEB,EDUC
BMSO,BMGT
CPSG,Office of Undergraduate Studies
HBUS,Office of Undergraduate Studies
CPPL,Office of Undergraduate Studies
ENBC,ENGR
SLAA,ARHU
CPET,Office of Undergraduate Studies
KORA,ARHU
